"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"auto_arima_forec",0.0800271409321009,0.049736663544456,0.0514106632420604,0.0533502739396027,0.0521924780853355,0.0474199518714294,0.0553866645268533,0.134489013610771,0.0606094552650545,0.0480378618453756,0.0510210727483241,0.0519046286083265,0.0483998619466304,0.0574461345114394,0.0487861366171074,0.0535653435507462,0.0562684768081571,0.0551507472849723,0.145432790667628,0.0635693305157673,0.0949159460964157,0.0831193500127197,0.0722694902914088,0.0651214802371977
"ets_forec",0.0472331186493723,0.0542747221032318,0.0396450740912374,0.0511037240755986,0.0489333757012188,0.0413549755421961,0.0524562892234537,0.225042832149071,0.0640121909989126,0.0419361426068917,0.0551487669677233,0.0462732815823851,0.0526391056899015,0.0408557493979726,0.0576963046420387,0.053976224683037,0.0457798227717554,0.100830112391361,0.181892825652715,0.0937596351753296,0.117717359737833,0.147146905690025,0.120817149514803,0.063703644173558
"nnetar_forec",0.0190654424692335,0.0375689238193776,0.0899761120330079,0.066503896511794,0.0819444943786513,0.0981373699444258,0.0548433297946035,0.0981161407041225,0.0334667871789948,0.0901516868230583,0.052381596465625,-0.0027298091343181,0.0505014991874626,0.0665652214433467,0.0872666783608038,0.0695517544957698,0.0413940982005529,0.0740719552032857,0.0927406970243572,0.100760144415526,0.0572061859325096,0.0067082393935255,0.0233922158988052,0.0211208474231532
"tbats_forec",0.0363179370461239,0.0440351407070628,0.0208693588683496,0.0351300098142705,0.0337539479887314,0.0196739432732837,0.0441745065910683,0.109838969079724,0.0576434517954474,0.02368862069319,0.0299120454677864,0.0359883556711289,0.0263157363457778,0.0285768805608593,0.0334081281451714,0.0300243880500262,0.0339869125355186,0.0505252833357053,0.0644867983829225,0.0558673563419372,0.057793627075215,0.0952540074961548,0.0841516637696601,0.0399386521675336
"stlm_ar_forec",0.0561693509139555,0.0544340949201012,0.0208962267571804,0.0667249811093423,0.0767486079506189,0.0309457429007122,0.0323636029106762,0.179080348711517,0.0560341841253934,0.0135231064083785,0.0548217761597195,0.0328017376640498,0.0264609025100546,0.00459052110219364,0.0571542078827065,0.0404621310380558,0.00415163570392006,0.0434815388012525,0.096358436243498,0.0528757638113779,0.110246777598114,0.124936379401077,0.0381925144908747,0.0380717463346752
"rw_drift_forec",0.08510337972167,0.08520675944334,0.0853101391650099,0.0854135188866799,0.0855168986083499,0.0856202783300199,0.0857236580516899,0.0858270377733598,0.0859304174950298,0.0860337972166998,0.0861371769383698,0.0862405566600398,0.0863439363817097,0.0864473161033797,0.0865506958250497,0.0866540755467197,0.0867574552683897,0.0868608349900596,0.0869642147117296,0.0870675944333996,0.0871709741550696,0.0872743538767396,0.0873777335984095,0.0874811133200795
"thetaf_forec",0.0424982337505427,0.0466674111265347,0.0344346823864748,0.040961864845497,0.0392870385311504,0.0352919963500913,0.0448998231501902,0.175098087812995,0.053206657929429,0.0325925380424661,0.0453837072572457,0.0364589871426865,0.0409804510655072,0.0352864477971579,0.0432891124592911,0.045023011101312,0.0335032240110797,0.0772463840596154,0.095582026508039,0.0685854172047947,0.0877459088009505,0.117022766520332,0.0931993536367861,0.0486328101105189
"naive_forec",0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085
"snaive_forec",0.028,0.031,0.058,0.008,0.062,0.026,0.024,0.249,0.014,0.06,0.025,0.025,0.063,0.008,0.064,0.024,0.07,0.081,0.61,0.163,0.053,0.022,0.147,0.085
"",0.0363229408717133,0.0440354452178829,0.0208798149893894,0.0351318098658102,0.0337629027296598,0.0196815223003643,0.0441733506255506,0.109872148765362,0.0576381565645941,0.0236973723311398,0.0299177727125495,0.0359886186756028,0.0263252710528091,0.0285779164236922,0.0334171158098657,0.0300296296511335,0.033992503468277,0.050534360636739,0.0645677025411194,0.055884007913781,0.0578046029682477,0.0952491214279113,0.0841576065129644,0.0399480100771742
"naive_combi_ff",0.0532682892758887,0.0542137461849005,0.0539491396159245,0.0546875854647539,0.0628196490271174,0.0521604731346843,0.0532053193609483,0.14905471442684,0.0566559049764735,0.0534404170706733,0.0538673491116438,0.0441041931326998,0.0532934992363382,0.0458631412129277,0.0625723626591298,0.0542507698295185,0.0507601805888193,0.0726852062295835,0.162050865465654,0.0856094713220147,0.0834218643773452,0.0853846669322859,0.0834889023556386,0.0593411437518573
"selected_ff",0.0363179370461239,0.0440351407070628,0.0208693588683496,0.0351300098142705,0.0337539479887314,0.0196739432732837,0.0441745065910683,0.109838969079724,0.0576434517954474,0.02368862069319,0.0299120454677864,0.0359883556711289,0.0263157363457778,0.0285768805608593,0.0334081281451714,0.0300243880500262,0.0339869125355186,0.0505252833357053,0.0644867983829225,0.0558673563419372,0.057793627075215,0.0952540074961548,0.0841516637696601,0.0399386521675336
"oracle_ff",0.0363179370461239,0.0440351407070628,0.0208693588683496,0.0351300098142705,0.0337539479887314,0.0196739432732837,0.0441745065910683,0.109838969079724,0.0576434517954474,0.02368862069319,0.0299120454677864,0.0359883556711289,0.0263157363457778,0.0285768805608593,0.0334081281451714,0.0300243880500262,0.0339869125355186,0.0505252833357053,0.0644867983829225,0.0558673563419372,0.057793627075215,0.0952540074961548,0.0841516637696601,0.0399386521675336
